year,month,HHI_Total_assoc,HHI_Total_units,num_associations_Total,total_units_Total,HHI_LV_assoc,HHI_LV_units,num_associations_LV,total_units_LV,HHI_Reno_assoc,HHI_Reno_units,num_associations_Reno,total_units_Reno,HHI_Other_assoc,HHI_Other_units,num_associations_Other,total_units_Other
2016,5,417.9749508008706,855.482335012078,2770,831021,547.2976130318785,756.6937173717653,2145,525881,908.6859357482796,1242.5036469415472,367,84265,2275.4041223484164,6740.190059075249,258,220875
2016,6,418.2115088061034,867.4328888354662,2775,838498,547.6279742014007,799.1635091451408,2145,532840,889.4622975799439,1227.2178769349962,373,84749,2264.2280730972457,6738.332169004996,257,220909
2016,7,419.4739388251708,871.0129255191097,2776,838597,549.7501352082209,805.4156384151688,2150,533455,889.2161628871287,1234.0407172489545,374,84711,2250.2519526329056,6765.330228326275,252,220431
2016,8,419.5799684568634,869.4081428437439,2784,839114,550.5023733224103,800.5588799406155,2156,533388,885.8853576680337,1237.7043680199463,377,85399,2242.6628148759546,6771.089035821207,251,220327
2016,9,416.874224232157,865.0687365189035,2788,832152,545.3587788741881,777.4978137796124,2162,526698,878.0549256739736,1242.1693478525608,378,85288,2220.6685744016645,6780.0284287830245,248,220166
2016,10,417.55290122150495,875.6217325190435,2794,842087,545.0580608969494,813.9457959866323,2171,536662,894.5718204977468,1248.0556584465933,378,85389,2199.916701374428,6787.268192882752,245,220036
2016,11,413.8947814156432,874.8114316350172,2761,837214,540.3147145603037,804.1356590689512,2146,532604,892.19357574625,1239.518832554732,373,85503,2156.2734785875286,6839.797054531928,242,219107
2016,12,420.61852615035446,874.4912402168305,2798,842295,549.9270187474542,810.8921065740617,2178,537315,891.1800948197242,1227.2387619600563,379,86156,2183.3301768220235,6857.991227760665,241,218824
2017,1,416.936559380854,873.337114706154,2809,843488,542.0035932809944,808.8686034980988,2189,538604,897.2299168975067,1233.7354494452916,380,86312,2194.097222222224,6872.554083458523,240,218572
2017,2,414.0201284865704,874.1096338791596,2816,844040,542.9766684985535,817.4299511019872,2193,537465,899.0706870302631,1232.1642174480187,381,86190,2220.476743391846,6771.281940825587,242,220385
2017,3,417.44224293210107,869.5063770130157,2825,846922,545.4208894442131,809.6816154593703,2205,541102,909.817375190306,1235.0702419678714,381,86162,2208.8198736016525,6811.830492014396,239,219658
2017,4,419.1285950413222,886.591059993388,2750,834365,546.9201244822289,821.9984612327572,2146,534158,931.0452554108152,1291.4927422174585,371,81409,2239.3118311260105,6863.925168942364,233,218798
2017,5,418.6116599512621,850.9275952299024,2829,863379,547.809253488288,794.9346521217492,2212,559526,922.1238452893284,1305.7513046222637,382,84133,2187.9583521955637,6806.792136750914,235,219720
2017,6,413.15013239279926,969.8024245362608,2169,753918,566.3735470406948,855.747173441629,1624,464614,883.2913373637998,1233.7682983173042,341,75213,2143.406382160707,7142.434621361389,204,214091
2017,7,418.51501902408495,849.5234221795444,2843,866175,548.6440069862188,796.7957985747195,2223,563204,919.7319878472226,1286.9889963796245,384,84154,2200.876185004309,6860.728875823345,236,218817
2017,8,419.163321331905,851.489396911602,2843,866151,549.2065631280063,800.5183448779436,2223,563508,918.94079946028,1283.733547741346,385,84206,2221.6387505658663,6884.600084620057,235,218437
