Name,SOS#,Assn Type,# of Units,Telephone,Address1,Address2,City,State,Zip Code,County,Address1_clean,Address2_Normalized,Firm_Normalized,Phone_Normalized,Firm_ByPhone,Firm_ByAddress,Firm_Final,Name_Changed_Flag
1200 Riverside Drive Association,283-1972,REG,100,(775) 674-8000,Kenyon & Associates,645 Sierra Rose Dr Ste 104,Reno,NV,89511,Washoe,KENYON & ASSOCIATES,645 sierra rose dr,kenyon associate,7756748000,kenyon associate,kenyon associate,kenyon associate,False
"14Th Street Duplex Homeowners Association, Inc",12771462021-4,REG,2,(702) 290-2122,"14Th Street Duplex Homeowners Association, Inc",9292 Bluemist Falls St,Las Vegas,NV,89123,Clark,"14TH STREET DUPLEX HOMEOWNERS ASSOCIATION, INC",9292 bluemist fall st,14th street duplex homeowner association,7022902122,14th street duplex homeowner association,14th street duplex homeowner association,14th street duplex homeowner association,False
317 Quaking Aspen Homeowners Association,0100782019-8,SUB,8,(775) 284-4434,"Western Nevada Management, Inc","255 W. Peckham Ln., Ste 2",Reno,NV,89509,Douglas,"WESTERN NEVADA MANAGEMENT, INC",255 w peckham ln,western nevada management,7752844434,western nevada management,western nevada management,western nevada management,False
360 Galaxy Homeowners Association,13220372021-8,SUB,8,(775) 460-9662,Kamehame Group Llc,Po Box 10193,Zephyr Cove,NV,89448,Douglas,KAMEHAME GROUP LLC,po box 10193,kamehame group,7754609662,kamehame group,kamehame group,kamehame group,False
"389 Cottonwood Homeowners Association, A Nevada Corporation",30976-2003,REG,2,(716) 861-5230,Gian Properties,4221 Transit Road,Williamsville,NY,14221,,GIAN PROPERTIES,4221 transit rd,gian propertie,7168615230,gian propertie,gian propertie,gian propertie,False
391 Willow Court Homeowners Association,5719-1978,REG,4,(775) 721-1197,Attn: Eric Stick,Po Box 4738,Incline Village,NV,89450,Washoe,ATTN: ERIC STICK,po box 4738,attn eric stick,7757211197,attn eric stick,attn eric stick,attn eric stick,False
"428 Quaking Aspen Hoa, Llc",0617562006-1,SUB,4,(775) 690-0808,"428 Quaking Aspen Hoa, Llc",16310 Jeffe Ct,Reno,NV,89511,Washoe,"428 QUAKING ASPEN HOA, LLC",16310 jeffe ct,428 quaking aspen hoa,7756900808,428 quaking aspen hoa,428 quaking aspen hoa,428 quaking aspen hoa,False
"5 Ridges Landscape Maintenance (Limited Purpose) Association, Inc.",18238672021-6,REG,1800,(775) 624-8805,Firstservice Residential,8290 Arville St,Las Vegas,NV,89139,Washoe,FIRSTSERVICE RESIDENTIAL,8290 arville st,firstservice residential nevada,7756248805,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,False
999 Lakeshore Association,1270-1967,REG,60,(775) 832-0284,Incline Property Management,848 Tanager St Ste M,Incline Village,NV,89451,Washoe,INCLINE PROPERTY MANAGEMENT,848 tanager st,incline property management,7758320284,incline property management,incline property management,incline property management,False
Aberdeen @ Southern Highlands Homeowners Association,11900-2001,SUB,88,(702) 458-2580,Colonial Property Management,8595 S Eastern Ave,Las Vegas,NV,89123,Clark,COLONIAL PROPERTY MANAGEMENT,8595 s eastern ave,colonial property management,7024582580,colonial property management,colonial property management,colonial property management,False
Acacia Landing Homeowners Association,18657322021-8,REG,218,(702) 645-1210,Association Management Group,"7495 W. Azure Drive, Suite 140-D",Las Vegas,NV,89130,Clark,ASSOCIATION MANAGEMENT GROUP,7495 w azure drive,association management group,7026451210,the association management group,the association management group,the association management group,True
Acadia At Skye Canyon Homeowners Association,0591702017-1,SUB,96,(702) 515-2042,Thoroughbred Management,2555 W. Cheyenne Ave.,North Las Vegas,NV,89032,Clark,THOROUGHBRED MANAGEMENT,2555 w cheyenne ave,thoroughbred management,7025152042,thoroughbred management,thoroughbred management,thoroughbred management,False
Acadia Homeowners Association,0500242015-4,REG,56,(702) 736-9450,Taylor Association Management,259 N Pecos Rd Ste 100,Henderson,NV,89074,Clark,TAYLOR ASSOCIATION MANAGEMENT,259 n peco rd,taylor association management,7027369450,taylor association management,taylor association management,taylor association management,False
Acadia Ridge Unit Owners Association,11953812021-6,SUB,151,(702) 835-6904,The Management Trust,8485 W Sunset Rd Suite 100,Las Vegas,NV,89113,Clark,THE MANAGEMENT TRUST,8485 w sunset rd,the management trust,7028356904,the management trust,the management trust,the management trust,False
Adagio Homeowners' Association,0667642005-0,REG,282,(702) 405-3300,Pinnacle Community Association Management,9330 W Sahara Ave Ste 210,Las Vegas,NV,89117,Clark,PINNACLE COMMUNITY ASSOCIATION MANAGEMENT,9330 w sahara ave,pinnacle community association management,7024053300,pinnacle community association management,pinnacle community association management,pinnacle community association management,False
Adalyn Manor Homeowners Association,6829222020-2,REG,61,(702) 458-2580,Colonial Property Management,8595 S Eastern Ave,Las Vegas,NV,89123,Clark,COLONIAL PROPERTY MANAGEMENT,8595 s eastern ave,colonial property management,7024582580,colonial property management,colonial property management,colonial property management,False
