Name,SOS#,Assn Type,# of Units,Telephone,Address1,Address2,City,State,Zip Code,County,Firm_Normalized,Firm_Final,Firm_ByPhone,Firm_ByAddress,Address2_Normalized,Name_Changed_Flag
1200 RIVERSIDE DRIVE ASSOCIATION,283-1972,REG,100,(775) 674-8000,C/O KENYON & ASSOCIATES,645 SIERRA ROSE DR STE 104,RENO,NV,89511,Washoe,kenyon associate,kenyon associate,kenyon associate,kenyon associate,645 sierra rose dr,False
"14TH STREET DUPLEX HOMEOWNERS ASSOCIATION, INC",12771462021-4,REG,2,(702) 290-2122,"C/O 14TH STREET DUPLEX HOMEOWNERS ASSOCIATION, INC",7775 PLACID ST,LAS VEGAS,NV,89123,Clark,14th street duplex homeowner association,14th street duplex homeowner association,14th street duplex homeowner association,14th street duplex homeowner association,7775 placid st,False
317 QUAKING ASPEN HOMEOWNERS ASSOCIATION,0100782019-8,SUB,8,(775) 586-4544,MINDING YOUR BUSINESS,PO BOX 4441,STATELINE,NV,89449,Douglas,,,,,,
"338 MILKY WAY COURT HOMEOWNERS ASSOCIATION INC, THE",0208852006-1,SUB,4,4129526509,,429 S SIERRA AVE UNIT 121,SOLANA BEACH,CA,92075,,,,,,,
344 QUAKING ASPEN LANE ASSOCIATION,10679-1991,SUB,4,(775) 291-8872,C/O 344 QUAKING ASPEN LANE ASSOCIATION,PO BOX 5486,STATELINE,NV,89449-5486,Douglas,kamehame group,kamehame group,kamehame group,kamehame group,po box 10193,False
"348 HOMEOWNERS ASSOCIATION, THE",0210052019-4,SUB,4,(435) 627-0494,"C/O MAGNIFY ASSET INVESTMENT, LLC.",283 WEST HILTON DRIVE #3,ST. GEORGE,UT,84770,,gian propertie,gian propertie,gian propertie,gian propertie,4221 transit rd,False
360 GALAXY HOMEOWNERS ASSOCIATION,13220372021-8,SUB,8,(775) 460-9662,C/O KAMEHAME GROUP LLC,PO BOX 10193,ZEHRY COVE,NV,89448,Douglas,colonial property management,colonial property management,colonial property management,colonial property management,8595 s eastern ave,False
"389 COTTONWOOD HOMEOWNERS ASSOCIATION, A NEVADA CORPORATION",30976-2003,REG,2,(716) 861-5230,C/O GIAN PROPERTIES,4221 TRANSIT ROAD,WILLIAMSVILLE,NY,14221,,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,2555 w cheyenne ave,False
391 WILLOW COURT HOMEOWNERS ASSOCIATION,5719-1978,REG,4,(775) 721-1197,,PO BOX 4738,INCLINE VILLAGE,NV,89450,Washoe,,,,,,
"428 QUAKING ASPEN HOA, LLC",0617562006-1,SUB,4,(619) 548-7184,,PO BOX 3712,STATELINE,NV,89449,Douglas,,,,,,
608 LARIAT CIRCLE HOMEOWNERS ASSOCIATION,7644-1984,REG,4,(775) 882-7846,,908 SARATOGA WAY,CARSON CITY,NV,89703,Washoe,,,,,,
685 PALMER COURT HOMEOWNERS ASSOCIATION,0386602018-1,REG,4,(760) 213-0099,,685 PALMER COURT UNIT 4,INCLINE VILLAGE,NV,89451,Washoe,,,,,,
701 HOGAN COURT COMMUNITY ASSOCIATION,2504392019-1,REG,4,(775) 527-8791,,774 MAYS BLVD #10-166,INCLINE VILLAGE,NV,89451,Washoe,,,,,,
750 MILKY WAY ASSOCIATION,9846-2004,SUB,8,(858) 720-1575,,PO BOX 7115,STATELINE,NV,89449,Douglas,,,,,,
999 LAKESHORE ASSOCIATION,1270-1967,REG,60,(775) 828-4800,C/O INFINITY ASSOCIATION MANAGEMENT,1285 BARING BLVD STE 401,SPARKS,NV,89434,Washoe,nevada community management,nevada community management,nevada community management,nevada community management,9500 w flamingo rd,False
ABERDEEN @ SOUTHERN HIGHLANDS HOMEOWNERS ASSOCIATION,11900-2001,SUB,88,(702) 458-2580,C/O COLONIAL PROPERTY MANAGEMENT,8595 S EASTERN AVE,LAS VEGAS,NV,89123,Clark,nevada community management,nevada community management,nevada community management,nevada community management,7571 tule spring rd,False
ACADIA AT SKYE CANYON HOMEOWNERS ASSOCIATION,0591702017-1,SUB,96,(702) 515-2042,C/O THOROUGHBRED MANAGEMENT,2555 W. CHEYENNE AVE.,N. LAS VEGAS,NV,89032,Clark,terra west management service,terra west management service,terra west management service,terra west management service,6655 s cimarron 200,False
ACADIA HOMEOWNERS ASSOCIATION,0500242015-4,REG,56,(702) 736-9450,C/O TAYLOR ASSOCIATION MANAGEMENT,259 N PECOS RD STE 100,LAS VEGAS,NV,89074,Clark,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,2555 w cheyenne ave,False
ACADIA RIDGE UNIT OWNERS ASSOCIATION,11953812021-6,SUB,151,(702) 835-6904,C/O THE MANAGEMENT TRUST,8485 W SUNSET RD SUITE 100,LAS VEGAS,NV,89113,Clark,performance cam,performance cam,performance cam,performance cam,5135 camino al norte,False
ADAGIO HOMEOWNERS' ASSOCIATION,0667642005-0,REG,282,(702) 405-3300,C/O PINNACLE COMMUNITY ASSOCIATION MANAGEMENT,9330 W. SAHARA AVE STE 210,LAS VEGAS,NV,89117,Clark,camco,camco,camco,camco,po box 400518,False
ADALYN MANOR HOMEOWNERS ASSOCIATION,6829222020-2,REG,61,(702) 458-2580,C/O COLONIAL PROPERTY MANGEMENT LLC,8595 S EASTERN AVE,LAS VEGAS,NV,89123,Clark,associa sierra north,associa sierra north,associa sierra north,associa sierra north,10509 professional ct,False
ADEN SQUARE HOMEOWNERS ASSOCIATION,11922552021-4,REG,53,(702) 231-3054,C/O ROOFTOP ASSOCIATION MANAGEMENT,901 S PECOS RD SUITE 4335,HENDERSON,NV,89074,Clark,camco,camco,camco,camco,po box 400518,False
ADHARA COVE HOMEOWNERS ASSOCIATION,0278802014-0,REG,201,(702) 818-4780,C/O SMG,PO BOX 777008,HENDERSON,NV,89077,Clark,camco,camco,camco,camco,po box 400518,False
ADIAMO HOMEOWNERS' ASSOCIATION,0145332007-4,REG,278,(702) 990-2790,C/O OVATION PROPERTY MANAGEMENT,6021 S FORT APACHE RD STE 100,LAS VEGAS,NV,89148,Clark,seabreeze management,seabreeze management,seabreeze management,seabreeze management,9205 w russell rd,False
ADMIRAL'S POINT HOMEOWNERS ASSOCIATION,7506-1987,SUB,132,(702) 222-2391,"C/O NEVADA COMMUNITY MANAGEMENT, LLC",9500 W FLAMINGO RD STE 204,LAS VEGAS,NV,89147,Clark,rooftop association management,rooftop association management,rooftop association management,rooftop association management,9017 s peco rd,False
ADMIRAL'S POINT II OWNERS ASSOCIATION,10995-1992,REG,132,(702) 655-7064,C/O NEVADA COMMUNITY MANAGEMENT,7571 TULE SPRINGS RD,LAS VEGAS,NV,89131,Clark,community management group,community management group,community management group,community management group,2450 box canyon dr,False
ADOBE RANCH COMMUNITY ASSOCIATION,11765612021-5,REG,73,(949) 627-9087,C/O SEABREEZE MANAGEMENT,9205 W RUSSELL RD,LAS VEGAS,NV,89148,Clark,adept management service,adept management service,adept management service,adept management service,5550 painted mirage rd,False
AFFINITY HOMEOWNERS ASSOCIATION,0240662017-1,SUB,485,(702) 856-3716,C/O TERRA WEST MANAGEMENT SERVICES,6655 S. CIMARRON #200,LAS VEGAS,NV,89113,Clark,nicklin property management,nicklin property management,nicklin property management,nicklin property management,375 n stephanie st,False
AGAVE MOON HOMEOWNERS ASSOCIATION,0254462018-4,REG,104,(702) 515-2042,C/O THOROUGHBRED MANAGEMENT,2555 W. CHEYENNE AVE.,N LAS VEGAS,NV,89032,Clark,terra west management,terra west management,terra west management,kgdo holding dba terra west management,6655 s cimmaron rd,False
AHEY ESTATES HOMEOWNERS ASSOCIATION INC,13019-1998,REG,32,(702) 362-0318,"C/O PERFORMANCE CAM, LLC",5135 CAMINO AL NORTE STE 100,N LAS VEGAS,NV,89031,Clark,taylor association management,taylor association management,taylor association management,taylor association management,259 n peco rd,False
AIRPARK ESTATES HOMEOWNERS ASSOCIATION,887-1991,REG,40,(702) 531-3382,C/O CAMCO,PO BOX 400518,LAS VEGAS,NV,89140,Lyon,associa nevada south,associa nevada south,associa nevada south,associa nevada south,7670 w lake mead blvd,False
ALAMO SQUARE HOMEOWNER'S ASSOCIATION,0373742016-0,REG,38,(775) 626-7333,C/O ASSOCIA SIERRA NORTH,10509 PROFESSIONAL CT,RENO,NV,89521,Washoe,nicklin community management service,nicklin community management service,nicklin property management,nicklin property management,375 n stephanie st,False
ALDER EAST HOMEOWNERS ASSOCIATION,0183112019-8,REG,38,(702) 531-3382,C/O CAMCO,PO BOX 400518,LAS VEGAS,NV,89114,Clark,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,2555 w cheyenne ave,False
ALDER LANDING HOMEOWNERS ASSOCIATION,0574162017-4,REG,38,(702) 531-3382,C/O CAMCO,PO BOX 400518,LAS VEGAS,NV,89140,Clark,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,8290 arville st,False
ALDERVISTA AT NORTH RANCH COMMUNITY ASSOCIATION,14887092021-2,REG,152,(949) 672-9087,C/O SEABREEZE MANAGEMENT COMPANY,9205 W RUSSELL RD SUITE 240,LAS VEGAS,NV,89148,Clark,the management trust,the management trust,the management trust,the management trust,8485 w sunset rd,False
ALEXANDER GRAND CANYON HOMEOWNERS ASSOCIATION,0398932017-3,REG,18,(702) 329-3054,C/O ROOFTOP ASSOCIATION MANAGEMENT,9017 S PECOS RD STE 4335,HENDERSON,NV,89074,Clark,nevada community management,nevada community management,nevada community management,nevada community management,9500 w flamingo rd,False
ALEXANDER PARK HOMEOWNERS' ASSOCIATION,26381-2003,REG,185,(702) 942-2500,C/O COMMUNITY MANAGEMENT GROUP,2450 BOX CANYON DR,LAS VEGAS,NV,89128,Clark,thoroughbred management,thoroughbred management,thoroughbred management,thoroughbred management,2555 w cheyenne ave,False
ALEXANDER STATION COMMUNITY ASSOCIATION,19615-1998,REG,93,(702) 645-1210,C/O ADEPT MANAGEMENT SERVICES INC,5550 PAINTED MIRAGE RD STE 320,LAS VEGAS,NV,89149,Clark,capital consultant management corportation,capital consultant management,,capital consultant management,8090 blue diamond rd,True
ALEXIS HEIGHTS UNIT OWNERS ASSOCIATION,0037492005-9,REG,256,(702) 373-8580,"C/O FIRSTSERVICE RESIDENTIAL, NEVADA, LLC",8290 ARVILLE ST,LAS VEGAS,NV,89139,Clark,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,8290 arville st,False
ALIANTE COVE HOMEOWNERS ASSOCIATION,17454-2004,SUB,155,(702) 851-7660,C/O NICKLIN PROPERTY MANAGEMENT,375 N STEPHANIE ST STE 911B,HENDERSON,NV,89014,Clark,nevada community management,nevada community management,nevada community management,nevada community management,9500 w flamingo rd,False
ALLEGRA HOMEOWNERS ASSOCIATION,0328012015-7,SUB,88,(702) 856-3785,C/O TERRA WEST MANAGEMENT,6655 S CIMMARON RD STE 200,LAS VEGAS,NV,89113,Clark,camco,camco,camco,camco,po box 400518,False
ALLEGRO HOMEOWNERS ASSOCIATION,1392-1992,REG,147,(702) 736-9450,C/O TAYLOR ASSOCIATION MANAGEMENT,259 N PECOS RD STE 100,HENDERSON,NV,89074,Clark,incline property management,incline property management,incline property management,incline property management,848 tanager st,False
ALLEN MANOR HOMEOWNERS ASSOCIATION,12891-2004,REG,147,(702) 795-3344,C/O ASSOCIA NEVADA SOUTH,7670 W. LAKE MEAD BLVD STE 100,LAS VEGAS,NV,89128,Clark,camco,camco,camco,camco,po box 400518,False
ALLEN MANOR II HOMEOWNERS ASSOCIATION,0052322006-0,REG,60,(702) 851-7660,C/O NICKLIN COMMUNITY MANAGEMENT SERVICES,375 N STEPHANIE ST STE 911,HENDERSON,NV,89014,Clark,elite hoa management,elite hoa management,elite hoa management,elite hoa management,8425 w flamingo rd,False
ALLERTON PARK HOMEOWNER'S ASSOCIATION,0295422005-4,SUB,333,(702) 515-2042,C/O THOROUGHBRED MANAGEMENT INC,2555 W CHEYENNE AVE,N LAS VEGAS,NV,89032,Clark,the management trust,the management trust,the management trust,the management trust,8485 w sunset rd,False
"ALLURE HOMEOWNERS' ASSOCIATION, INC.",0608152007-2,REG,427,(702) 737-8580,"C/O FIRSTSERVICE RESIDENTIAL, NEVADA, LLC",8290 ARVILLE ST,LAS VEGAS,NV,89139,Clark,nevada community management,nevada community management,nevada community management,nevada community management,7571 tule spring rd,False
ALLURE I TOWNHOMES HOMEOWNERS ASSOCIATION,3232-1994,REG,126,(702) 835-6904,C/O THE MANAGEMENT TRUST,8485 W SUNSET RD STE 100,LAS VEGAS,NV,89113,Clark,terra west management service,terra west management service,terra west management service,terra west management service,po box 80900,False
ALONDRA HOMEOWNERS' ASSOCIATION,769-2005,REG,320,(702) 222-2391,C/O NEVADA COMMUNITY MANAGEMENT,9500 W FLAMINGO RD STE 204,LAS VEGAS,NV,89147,Clark,triton hoa service,triton hoa service,triton hoa service,triton hoa service,10501 w gowan rd,False
ALPHA & OMEGA POINTE HOMEOWNERS ASSOCIATION,6561422020-3,SUB,224,(702) 515-2042,C/O THOROUGHBRED MANAGEMENT,2555 W CHEYENNE AVE,N LAS VEGAS,NV,89032,Clark,terra west management service,terra west management service,terra west management service,terra west management service,6655 s cimarron rd,False
ALPIAN MEADOW @ MOUNTAIN'S EDGE,SAME AS MASTER,SAM,84,,C/O CAPITAL CONSULTANTS MANAGEMENT CORPORTATION,8090 BLUE DIAMOND RD,LAS VEGAS,NV,89178,Clark,nevada community management,nevada community management,nevada community management,nevada community management,9500 w flamingo rd,False
ALPINE CROSSINGS AND WHISPER PEAK COMMUNITY ASSOCIATION,0464062015-7,SUB,204,(702) 737-8580,"C/O FIRSTSERVICE RESIDENTIAL, NEVADA, LLC",8290 ARVILLE ST,LAS VEGAS,NV,89139,Clark,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,8290 arville st,False
ALPINE MEADOWS ESTATES HOMEOWNERS ASSOCIATION THE,7447-1996,REG,19,(702) 365-6720,C/O FIRST COLUMBIA COMMUNITY MANAGEMENT INC,PO BOX 28759,LAS VEGAS,NV,89126,Clark,firstservice residential,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,8290 arville st,True
ALPINE RIDGE ESTATES HOMEOWNERS ASSOCIATION,0498242007-9,REG,25,(702) 222-2391,"C/O NEVADA COMMUNITY MANAGEMENT, INC.",9500 W. FLAMINGO RD SUITE 204,LAS VEGAS,NV,89147,Clark,summerlin community management,summerlin community management,summerlin community management,summerlin community management,2120 snow trail,False
