Name,SOS#,Assn Type,# of Units,Telephone,Address1,Address2,City,State,Zip Code,County,Address2_Normalized,Firm_Normalized,Phone_Normalized,Firm_ByPhone,Firm_ByAddress,Firm_Canonical,Firm_Final
Siena Vista @ Southern Highlands,SAME AS MASTER,SAM,135.0,, Olympia Management Services,11411 Southern Highlands Pkwy Ste 120,Las Vegas,NV,89141,Clark,11411 southern highland pkwy,olympia management service,,olympia management service,olympia management service,olympia management service,olympia management service
Southwood Court Corp.,1983-1964,REG,12.0,, Ponderosa Properties,774 Mays Blvd Ste 2,Incline Village,NV,89451,Washoe,774 may blvd,ponderosa propertie,,olympia management service,kelly law,olympia management service,olympia management service
Sutter @ Mountain'S Edge,SAME AS MASTER,SAM,88.0,, Capital Consultants Management Corporation,"8090 Blue Diamond Rd, Ste 240",Las Vegas,NV,89178,Clark,8090 blue diamond rd,capital consultant management corporation,,olympia management service,capital consultant management corporation,olympia management service,olympia management service
Toscana Vineyards @ Southern Highlands,SAME AS MASTER,SAM,248.0,, Olympia Management Services,11411 Southern Highlands Pkwy Ste 120,Las Vegas,NV,89141,Clark,11411 southern highland pkwy,olympia management service,,olympia management service,olympia management service,olympia management service,olympia management service
Trophy District,SAME AS MASTER,SAM,109.0,, Colonial Property Management,8595 S Eastern Ave,Las Vegas,NV,89123,Clark,8595 s eastern ave,colonial property management,,olympia management service,colonial property management,olympia management service,olympia management service
Via Dana @ Southern Highlands,SAME AS MASTER,SAM,334.0,, Olympia Management Services,11411 Southern Highlands Pkwy Ste 120,Las Vegas,NV,89141,Clark,11411 southern highland pkwy,olympia management service,,olympia management service,olympia management service,olympia management service,olympia management service
"First Greenbrae Cooperative Apartments, Inc.",972-1958,REG,56.0,(270) 752-3482, Eugene Burger Management Corporation,5011 Meadowood Mall Way Ste 200,Reno,NV,89502,Washoe,5011 meadowood mall way,eugene burger management corporation,2707523482,eugene burger management corporation,eugene burger management corporation,eugene burger management corporation,eugene burger management corporation
Sunrise Meadows Homeowners Association,0345242006-4,REG,32.0,4356733131 X310," Color Country Community Housing, Inc",139N 100W,St. George,UT,84770,Clark,139n 100w,color country community housing,4356733131310,color country community housing,color country community housing,color country community housing,color country community housing
Tahoe Summit Homeowners Association,3791-1981,SUB,16.0,(530) 314-7468, Associa Sierra North,10509 Professional Cir Ste 200,Reno,NV,89521,Washoe,10509 professional cir,associa sierra north,5303147468,associa sierra north,associa sierra north,associa sierra north,associa sierra north
Bellazo Homeowners Association,0196102018-1,REG,70.0,70125313382, Camco,Po Box 400518,Las Vegas,NV,89140,Clark,po box 400518,camco,70125313382,camco,camco,camco,camco
Aspen Peak Homeowners Association Inc,21791-2003,REG,300.0,(702) 202-4330, P&G Association Management,129 W Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,pg association management,7022024330,p g association management,p g association management,p g association management,p g association management
Avendale Homeowners Association,0281382006-3,REG,27.0,(702) 202-4330, P & G Association Management,129 W Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Bel Aire Village Inc,6606-1993,REG,60.0,(702) 202-4330, P & G Association Management,"129 W. Lake Mead Pkwy, #16",Henderson,NV,89015,Clark,129 w lake mead pkwy 16,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Charleston Village Homes Homeowners Association,1217-1973,REG,106.0,(702) 202-4330, P & G Association Management,129 W Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
"Cottages Community Association, The",0249172017-1,REG,67.0,(702) 202-4330, P & G Association Management,129 W. Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Crossroads Homeowners Association Inc,2464-1981,REG,128.0,(702) 202-4330, P & G Association Management,129 W Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Crossroads Iii Homeowners Association,7646-1982,REG,168.0,(702) 202-4330, P & G Association Management,129 W Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Hidden Crest V Homeowners Association,0424402006-0,REG,16.0,(702) 202-4330, P & G Association Management,129 W. Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
"Hillside View Homeowners Association, Inc",2668-1999,REG,76.0,(702) 202-4330, P & G Association Management,129 W Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Home Stretch Homeowners Association,14351-1995,REG,192.0,(702) 202-4330, P & G Association Management,129 W. Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
"La Paz Nuevo Homeowners Association, Inc",25567-2001,REG,24.0,(702) 202-4330, P & G Association Management,129 W. Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Laketree Homeowners Association,1958-1973,REG,54.0,(702) 202-4330, P & G Association Management,129 W. Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Mountainside At Green Valley Homeowners Association,8272-1989,SUB,74.0,(702) 202-4330, P & G Association Management,129 W. Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Mountainside Homeowners Association,8547-1996,REG,417.0,(702) 202-4330, P & G Association Management,129 W. Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Murano Homeowners Association,0664502005-1,REG,121.0,(702) 202-4330, P & G Association Management,129 W. Lake Mead Pkwy #16,Henderson,NV,89015,Clark,129 w lake mead pkwy 16,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Our Place At Cottonwood Homeowners' Association,0353222014-2,REG,16.0,(702) 202-4330, P & G Association Management,129 W. Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Sage Creek 1 Homeowners Association,0401752006-4,REG,58.0,(702) 202-4330, P & G Association Management,129 W. Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Spring Oaks Ii Homeowners Association,7656-1987,REG,312.0,(702) 202-4330, P & G Association Management,129 W Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Stone Canyon Sausalito Homeowners Association,23253-1995,REG,80.0,(702) 202-4330, P & G Association Management,129 W. Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Tuscany Retreat Homeowners' Association,0256932007-0,REG,47.0,(702) 202-4330, P & G Association Management,129 W. Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Vegas Drive Home Owners Association,986-1972,REG,76.0,(702) 202-4330, P & G Association Management,129 W. Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
Winterwood Ranch Unit No. One,495-1973,REG,102.0,(702) 202-4330, P & G Association Management,129 W. Lake Mead Pkwy Ste 16,Henderson,NV,89015,Clark,129 w lake mead pkwy,p g association management,7022024330,p g association management,p g association management,p g association management,p g association management
"Solera At Anthem Community Association, Inc",18844-2003,REG,1822.0,(702) 207-1414," Firstservice Residential, Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Clark,8290 arville st,firstservice residential nevada,7022071414,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada
"Andalusia Homeowner'S Association, The",0655902011-6,SUB,81.0,(702) 215-4670, Associa Nevada South,8345 W Sunset Rd Ste 150,Las Vegas,NV,89113,Clark,8345 w sunset rd,associa nevada south,7022154670,associa nevada south,associa nevada south,associa nevada south,associa nevada south
Breckenridge At Mountains Edge Homeowners Association,0018092006-9,SUB,162.0,(702) 215-4670, Associa Nevada South,8345 W Sunset Rd Ste 150,Las Vegas,NV,89113,Clark,8345 w sunset rd,associa nevada south,7022154670,associa nevada south,associa nevada south,associa nevada south,associa nevada south
Crystal Springs Neighborhood Homeowners Association,8144-1995,REG,1426.0,(702) 215-4670, Associa Nevada South,8345 W Sunset Rd Ste 150,Las Vegas,NV,89113,Clark,8345 w sunset rd,associa nevada south,7022154670,associa nevada south,associa nevada south,associa nevada south,associa nevada south
First Light @ Arlington Ranch Homeowners Association,8384-2004,SUB,378.0,(702) 215-4670, Associa Nevada South,8345 W Sunset Rd Ste150,Las Vegas,NV,89113,Clark,8345 w sunset rd ste150,associa nevada south,7022154670,associa nevada south,associa nevada south,associa nevada south,associa nevada south
Hidden Crest/Parkhurst Community Association,0039932010-2,REG,152.0,(702) 215-4670, Associa Nevada South,8345 W Sunset Rd Ste 150,Las Vegas,NV,89113,Clark,8345 w sunset rd,associa nevada south,7022154670,associa nevada south,associa nevada south,associa nevada south,associa nevada south
Liberty At Silverado Ranch Community Association,5772-2002,REG,237.0,(702) 215-4670, Associa Nevada South,8345 West Sunset Rd Ste 150,Las Vegas,NV,89113,Clark,8345 w sunset rd,associa nevada south,7022154670,associa nevada south,associa nevada south,associa nevada south,associa nevada south
Mountain Trails Community Association,9032-1995,SUB,102.0,(702) 215-4670, Associa Nevada South,8345 W Sunset Rd Ste 150,Las Vegas,NV,89113,Clark,8345 w sunset rd,associa nevada south,7022154670,associa nevada south,associa nevada south,associa nevada south,associa nevada south
Segovia Community Association,0279912014-4,SUB,127.0,(702) 215-4670, Associa Nevada South,8345 W Sunset Rd Ste 150,Las Vegas,NV,89113,Clark,8345 w sunset rd,associa nevada south,7022154670,associa nevada south,associa nevada south,associa nevada south,associa nevada south
Soho Lofts Homeowners' Association,22310-2004,REG,122.0,(702) 215-4670, Associa Nevada South,3675 West Cheyenne Ave #100,Las Vegas,NV,89032,Clark,3675 w cheyenne ave 100,associa nevada south,7022154670,associa nevada south,associa nevada south,associa nevada south,associa nevada south
Twilight @ Arlington Ranch Homeowners Association,8391-2004,SUB,216.0,(702) 215-4670, Associa Nevada South,8345 W Sunset Rd Ste 150,Las Vegas,NV,89113,Clark,8345 w sunset rd,associa nevada south,7022154670,associa nevada south,associa nevada south,associa nevada south,associa nevada south
Villa Trieste At Westpark Homeowners' Association,0572852007-3,SUB,185.0,(702) 215-4670, Associa Nevada South,8345 W Sunset Rd Ste 150,Las Vegas,NV,89113,Clark,8345 w sunset rd,associa nevada south,7022154670,associa nevada south,associa nevada south,associa nevada south,associa nevada south
Wigwam Ranch East Estates Homeowners Association,0843822006-7,REG,79.0,(702) 215-4670, Associa Nevada South,"8345 W. Sunset Road, Suite 150",Las Vegas,NV,89113,Clark,8345 w sunset rd,associa nevada south,7022154670,associa nevada south,associa nevada south,associa nevada south,associa nevada south
Edgeview Ii Community Association,0449342018-5,REG,22.0,(702) 215-5028, First Service Residential Nevada Llc,8290 Arville Street,Las Vegas,NV,89139,Clark,8290 arville st,first service residential nevada,7022155028,first service residential nevada,firstservice residential nevada,first service residential nevada,first service residential
Grandview Community Association,0050962019-9,REG,154.0,(702) 215-5034, First Service Residential,8290 Arville Street,Las Vegas,NV,89139,Clark,8290 arville st,first service residential,7022155034,first service residential,firstservice residential nevada,first service residential,first service residential
Heatherridge Homeowners Association,21217-2000,SUB,118.0,(702) 215-5043, Firstservice Residential Nevada Llc,8290 Arville St,Las Vegas,NV,89139,Clark,8290 arville st,firstservice residential nevada,7022155043,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada,firstservice residential nevada
Lamplight Gardens At Silverado Ranch Homeowners' Association,0443812005-1,REG,235.0,(702) 215-5077, Firstservice Residential,8290 Arville Street,Las Vegas,NV,89139,Clark,8290 arville st,firstservice residential,7022155077,firstservice residential,firstservice residential nevada,firstservice residential,firstservice residential managment
Oak Park Homeowners Association,21504-1997,REG,196.0,(702) 215-5091, Firstservice Residential Managment,8290 Arville St,Las Vegas,NV,89139,Clark,8290 arville st,firstservice residential managment,7022155091,firstservice residential managment,firstservice residential nevada,firstservice residential managment,firstservice residential managment
Providence Master Homeowners Association,30696-2003,MSTR,327.0,(702) 216-2020, Capital Consultants Management Corporation,7181 N Hualapai Wy Ste 150,Las Vegas,NV,89166,Clark,7181 n hualapai wy,capital consultant management corporation,7022162020,capital consultant management corporation,capital consultant management corporation,capital consultant management corporation,capital consultant management corporation
Skye Canyon Community Association,0036452015-6,MSTR,12000.0,(702) 220-6565, Olympia Management Services,11411 Southern Highlands Pkwy #100,Las Vegas,NV,89141,Clark,11411 southern highland pkwy 100,olympia management service,7022206565,olympia management service,olympia management service,olympia management service,olympia management service
Admiral'S Point Homeowners Association,7506-1987,SUB,132.0,(702) 222-2391," Nevada Community Management, Llc",9440 W Sahara Ave Ste 237,Las Vegas,NV,89117,Clark,9440 w sahara ave,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Angel Point Homeowners Association,138-1995,REG,144.0,(702) 222-2391," Nevada Community Management, Llc",9500 W Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Bermuda Ranch Homeowners Association,0713892006-7,REG,18.0,(702) 222-2391," Nevada Community Management, Llc",9500 W Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Bridgeport Homeowners Association,27947-1997,REG,102.0,(702) 222-2391, Nevada Community Management,9500 W Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Cactus Court Homeowners Association,0763322005-9,REG,120.0,(702) 222-2391, Nevada Community Management,9500 W Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Calavera Homeowners Association,2622-2004,SUB,166.0,(702) 222-2391," Nevada Community Management, Llc",9500 W Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
"Cambridge Gardens Apartment Home Owners Association, Inc.",28927-2002,REG,56.0,(702) 222-2391," Nevada Community Management, Llc",9500 W Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Casa Rosa Homeowners Association,14920-2004,SUB,84.0,(702) 222-2391," Nevada Community Management, Llc",9440 W Sahara Ave Ste 237,Las Vegas,NV,89117,Clark,9440 w sahara ave,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
"Coves Homeowners Association, The",2811-1988,REG,128.0,(702) 222-2391," Nevada Community Management, Llc",9500 W Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Creekside Ii Homeowners Association,26834-2003,REG,101.0,(702) 222-2391," Nevada Community Management, Llc",9500 W Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Del Mar Downs Homeowner Association,1873-1985,REG,36.0,702-222-2391, Nevada Community Management,9500 Flamingo Rd Ste 204,Las Vegas,NV,89149,Clark,9500 flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Desert Moon Homeowners Association,0665492005-9,REG,82.0,(702) 222-2391," Nevada Community Management, Llc",9500 W Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Desert Park At Green Valley Homeowners Association,8079-1986,SUB,202.0,(702) 222-2391," Nevada Community Management, Llc",9500 W Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Diamond Creek Homeowners' Association,0538252005-9,SUB,190.0,(702) 222-2391," Nevada Community Management, Llc",9500 W Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Durango Springs Landscape Maintenance Association,21879-2001,REG,113.0,(702) 222-2391," Nevada Community Management, Llc",9500 W Flamingo St Ste 204,Las Vegas,NV,89147,Clark,9500 w flamingo st,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Hillpointe Park Maintenance District,1432-1991,REG,310.0,(702) 222-2391," Nevada Community Management, Llc",9500 W Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Hillsboro Heights Homeowners Association Inc,4569-1990,REG,125.0,(702) 222-2391," Nevada Community Management, Llc",9500 W Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Las Hadas Homeowners Association,10766-1993,REG,94.0,(702) 222-2391, Nevada Community Management,9500 W Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Majestic Hills Community Association,30193-1998,SUB,338.0,(702) 222-2391, Nevada Comunity Management,9500 W Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada comunity management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
"Monte Bello Homeowners Association, Inc",24337-2004,REG,87.0,(702) 222-2391," Nevada Community Management, Llc",9500 W Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Pacific Sunset Village Homeowners Association,7211-1990,REG,63.0,(702) 222-2391," Nevada Community Management, Llc",9500 W Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Paseo Verde Twilight Homeowners Association,0843052005-3,REG,71.0,(702) 222-2391," Nevada Community Management, Llc",9500 W Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Rancho Las Brisas Master Homeowners Association,5917-1990,REG,649.0,(702) 222-2391," Nevada Community Management, Llc",9500 W Flamingo Ste 204,Las Vegas,NV,89147,Clark,9500 w flamingo,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Santa Rosa Homeowners Association,12583-2002,REG,71.0,(702) 222-2391," Nevada Community Management, Llc",9500 W Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Sapphire Springs Homeowners Association,0006382006-0,REG,74.0,(702) 222-2391, Nevada Community Management,"9500 W Flamingo Rd, Ste 204",Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
"Section Seven Community Association, The",9438-1986,MSTR,2374.0,(702) 222-2391," Nevada Community Management, Llc",9500 W Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Serenity Homeowners Association,25805-1998,REG,139.0,(702) 222-2391," Nevada Community Management, Llc",9500 W Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
"Silverado Pines Landscape Maintenance Association, Inc.",383-2002,REG,237.0,(702) 222-2391, Nevada Community Management Llc,"9500 W Flamingo, Ste 204",Las Vegas,NV,89147,Clark,9500 w flamingo,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Smoke Ranch Maintenance District,2965-1987,REG,486.0,(702) 222-2391," Nevada Community Management, Llc",9500 W Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Somerset Homeowners Association,17256-2001,REG,53.0,(702) 222-2391, Nevada Community Management,9500 W Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Somerset Landscape Maintenance Association,19021-2000,REG,175.0,(702) 222-2391, Nevada Community Management,9500 W Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Sonora Hills Homeowner Association,30513-2003,REG,64.0,(702) 222-2391," Nevada Community Management, Llc",9500 W Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Summerhills Owners Association,19724-1997,REG,134.0,(702) 222-2391," Nevada Community Management, Llc",9500 W Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Talaverde Homeowners Association,30485-2002,SUB,81.0,(702) 222-2391," Nevada Community Management, Llc",9500 W Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Tuscany Hills North Homeowners Association,12248-1996,REG,29.0,(702) 222-2391, Nevada Community Management,9500 W Flamingo Rd Ste 204,Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
Wigwam Ranch East Twilight Homeowners Association,0135392006-7,REG,84.0,(702) 222-2391," Nevada Community Management, Llc","9500 W Flamingo Rd, Ste 204",Las Vegas,NV,89147,Clark,9500 w flamingo rd,nevada community management,7022222391,nevada community management,nevada community management,nevada community management,nevada community management
"Symphony Park Master Association, Inc.",0106322008-7,MSTR,2000.0,(702) 229-6551, Economic And Urban Development Department,,Las Vegas,NV,89101,Clark,,economic and urban development department,7022296551,economic and urban development department,economic and urban development department,economic and urban development department,economic and urban development department
Vantage Lofts Unit-Owners' Association,0276652006-9,REG,110.0,(702) 242-8180, Vantage Lofts Llc,3300 Pollux Ave,Las Vegas,NV,89102,Clark,3300 pollux ave,vantage loft,7022428180,vantage loft,vantage loft,vantage loft,vantage loft
"Canyons Mesquite Vistas Homeowners Association, The",6607-1995,SUB,58.0,(702) 245-2200, Colonial Property Management,736 W Pioneer Blvd Ste 200,Mesquite,NV,89027,Clark,736 w pioneer blvd,colonial property management,7022452200,colonial property management,colonial property management,colonial property management,colonial property management
"Highland Fairways Community Association, Inc., The",10523-1999,SUB,127.0,(702) 245-2200, Colonial Property Management,736 W Pioneer Blvd Ste 200,Mesquite,NV,89027,Clark,736 w pioneer blvd,colonial property management,7022452200,colonial property management,colonial property management,colonial property management,colonial property management
Alpine Ridge Estates Homeowners Association,0498242007-9,REG,25.0,(702) 247-1115, Ideal Community Management,5785 Centennial Center Blvd Ste 210,Las Vegas,NV,89149,Clark,5785 centennial center blvd,ideal community management,7022471115,ideal community management,ideal community management,ideal community management,ideal community management
Appaloosa Canyon/Quarterhorse Falls Homeowners Association,2484-2000,REG,339.0,(702) 247-1115, Ideal Community Management,5785 Centennial Center Blvd Ste 210,Las Vegas,NV,89149,Clark,5785 centennial center blvd,ideal community management,7022471115,ideal community management,ideal community management,ideal community management,ideal community management
