Name,SOS#,Assn Type,# of Units,Telephone,Address1,Address2,City,State,Zip Code,County,Address2_Normalized,Firm_Normalized,Phone_Normalized,Firm_ByPhone,Firm_ByAddress,Firm_Canonical,Firm_Final
Bella Terra @ Southern Highlands,SAME AS MASTER,SAM,705.0,, Olympia Management Services,11411 Southern Highlands Pkwy Ste 120,Las Vegas,NV,89141,Clark,11411 southern highland pkwy,olympia management service,,olympia management service,olympia management service,olympia management service,olympia management service
Boulder Ranch South Homeowners Association,0331822016-0,REG,61.0,, Camco,P.O. Box 400518,Las Vegas,NV,89140,Clark,po box 400518,camco,,olympia management service,camco,olympia management service,olympia management service
Brasado I & Ii @ Southern Highlands,SAME AS MASTER,SAM,224.0,, Olympia Management Services,11411 Southern Highlands Pkwy Ste 120,Las Vegas,NV,89141,Clark,11411 southern highland pkwy,olympia management service,,olympia management service,olympia management service,olympia management service,olympia management service
Castellina Ii @ Southern Highlands,SAME AS MASTER,SAM,30.0,, Olympia Management Services,11411 Southern Highlands Ste 300,Las Vegas,NV,89141,Clark,11411 southern highland,olympia management service,,olympia management service,olympia management service,olympia management service,olympia management service
Cortona Hills @ Southern Highlands,SAME AS MASTER,SAM,119.0,, Olympia Management Services,11411 Southern Highlands Pkwy Ste 120,Las Vegas,NV,89141,Clark,11411 southern highland pkwy,olympia management service,,olympia management service,olympia management service,olympia management service,olympia management service
Glenhaven @ Southern Highlands,SAME AS MASTER,SAM,116.0,, Olympia Management Services,11411 Southern Highlands Pkwy Ste 120,Las Vegas,NV,89141,Clark,11411 southern highland pkwy,olympia management service,,olympia management service,olympia management service,olympia management service,olympia management service
Heathercrest @ Southern Highlands,SAME AS MASTER,SAM,39.0,, Olympia Management Services,11411 Southern Highlands Pkwy Ste 120,Las Vegas,NV,89141,Clark,11411 southern highland pkwy,olympia management service,,olympia management service,olympia management service,olympia management service,olympia management service
Jade Ridge Homeowners Association,0568962018-3,SUB,206.0,, The Management Trust,8485 W Sunset Rd Ste 100,Las Vegas,NV,89113,Clark,8485 w sunset rd,the management trust,,olympia management service,the management trust,olympia management service,olympia management service
Los Serranos @ Mountain'S Edge,SAME AS MASTER,SAM,54.0,, Capital Consultants Management Corporation,8090 Blue Diamond Rd Ste 240,Las Vegas,NV,89178,Clark,8090 blue diamond rd,capital consultant management corporation,,olympia management service,capital consultant management corporation,olympia management service,olympia management service
Monterosso Canyon @ Southern Highlands,SAME AS MASTER,SAM,122.0,, Olympia Management Services,11411 Southern Highlands Pkwy Ste 120,Las Vegas,NV,89141,Clark,11411 southern highland pkwy,olympia management service,,olympia management service,olympia management service,olympia management service,olympia management service
Monterosso Crossings @ Southern Highlands,SAME AS MASTER,SAM,321.0,, Olympia Management Services,11411 Southern Highlands Pkwy Ste 120,Las Vegas,NV,89141,Clark,11411 southern highland pkwy,olympia management service,,olympia management service,olympia management service,olympia management service,olympia management service
Mountaingate Reno Homeowners Association,0834952006-1,REG,251.0,," Firstservice Residential, Nevada, Llc",8290 Arville St,Las Vegas,NV,89139,Washoe,8290 arville st,firstservice residential nevada,,olympia management service,firstservice residential nevada,olympia management service,olympia management service
Siena Ancora @ Southern Highlands,SAME AS MASTER,SAM,120.0,, Olympia Management Services,11411 Southern Highlands Pkwy Ste 120,Las Vegas,NV,89141,Clark,11411 southern highland pkwy,olympia management service,,olympia management service,olympia management service,olympia management service,olympia management service
