year,month,HHI_Total_assoc,HHI_Total_units,num_associations_Total,total_units_Total,HHI_LV_assoc,HHI_LV_units,num_associations_LV,total_units_LV,HHI_Reno_assoc,HHI_Reno_units,num_associations_Reno,total_units_Reno,HHI_Other_assoc,HHI_Other_units,num_associations_Other,total_units_Other
2019,7,410.0542180818895,814.7088064566344,3070,914223,539.3424129390864,843.9162392570224,2405,605342,901.2326450694196,1197.0933883898715,424,85227,2465.69446118352,6604.698455238947,241,223654
2019,8,406.5694046213527,806.8867255677083,3080,922758,524.7614432483232,812.8796508232007,2448,623755,904.9917023320812,1237.0280383424913,428,83451,2640.330642060745,7074.200933888822,204,215552
2019,9,407.2525202556285,804.9264731421573,3083,922110,523.0436163519788,803.4846136867277,2467,628163,929.9377162629756,1274.8946921998518,425,81228,2929.470135138838,7258.106793945326,191,212719
2019,10,410.17197253462456,795.2329824704965,3099,921389,529.9767191849581,786.1387633057121,2486,627779,931.8949904367504,1279.2750805638884,421,79761,2901.4756944444453,7182.927651330177,192,213849
2019,11,403.0688794058392,780.5545899511184,3111,919066,517.378060897026,754.0366783280713,2493,623491,931.0350396477191,1223.8276944539243,431,82806,3032.6860933970097,7253.040431510785,187,212769
2019,12,402.77984985925326,783.6178642144123,3124,920311,515.6478069593444,756.9530556666803,2504,623456,920.3532235939646,1142.947185609955,432,83711,3164.3277501131734,7231.50403324114,188,213144
2020,1,398.727196316089,764.9610709353348,3128,913227,510.54170514004295,710.0943534720296,2508,616506,909.978975981652,1141.767616411569,434,83805,3177.824025898948,7246.149479692092,186,212916
2020,2,398.45768150842696,766.2321428727771,3137,912737,509.281563146578,713.1121230471362,2512,615697,894.8937678530472,1115.173890318274,438,84479,3173.954073608053,7270.602405840102,187,212561
2020,3,395.8020130488096,760.9483307958928,3143,915874,504.9259117264603,706.9015123120275,2515,617162,896.2829273810809,1117.2786918268391,441,84620,3174.526008750608,7167.681003702204,187,214092
2020,4,402.3152464567592,761.751596201511,3144,916698,507.71562882956897,712.0856041610232,2513,618647,908.3677685950412,1121.6548915305073,440,83558,3206.874811545734,7144.187112520228,191,214493
2020,5,397.6457200687012,768.0843730126181,3069,902494,500.0681659173409,719.7634398945848,2451,605493,883.3399392257892,1052.8579069247312,435,82996,3337.513810504942,7173.180672199145,183,214005
2020,6,397.393515838519,759.9737654818882,3147,920808,500.2162254090114,725.6046350853147,2513,624597,892.0348287719439,1037.6327125471137,446,83573,3364.078768673608,7269.867053397262,188,212638
2020,7,396.0407357331281,754.834475103287,3158,927274,498.8630637440162,719.7745521592744,2520,633285,880.1047613851117,1047.1446214214968,449,81540,3329.9739648946,7282.811146164735,189,212449
2020,8,397.5568919904774,737.4912022524953,3157,927523,497.37165135906287,675.3016500856999,2529,632132,883.0863278972026,1029.575847628951,446,83360,3279.193334138389,7308.411783600315,182,212031
2020,9,396.5219528877775,738.0421317903936,3166,926408,495.994148975487,672.6297425673771,2535,631760,887.9420240971025,1028.7190181694216,449,84504,3160.850138872118,7436.243791327647,182,210144
2020,10,396.8858183761125,718.1226747985935,3172,944037,495.1104135390924,652.0867887645334,2541,648463,893.9259259259261,1022.5886212036286,450,84733,3149.781752693752,7393.454888078598,181,210841
2020,11,403.794410609007,718.6944919757824,3169,943787,505.8588966048508,653.5151499850203,2539,648252,900.0493827160495,1023.853210958424,450,85035,3147.530864197531,7414.844463301379,180,210500
2020,12,398.5971613296194,715.2559535189114,3176,946364,504.0797676440212,649.5107203997458,2551,652756,890.3421285191265,1015.934937520034,445,84311,3092.592592592593,7489.150280643805,180,209297
2021,1,391.9493119999999,717.4493458779373,3125,937792,490.4611451146647,641.1603979346447,2524,647298,906.698374950456,1017.9449110721184,435,83050,3228.335026854405,7616.714997486389,166,207444
2021,2,390.0458667815745,710.3257266765514,3178,949627,492.2958228781568,645.8920842513908,2564,658702,923.8773191200976,995.0204718492512,443,83608,3176.019971957184,7623.371222026488,171,207317
2021,3,385.77261981517296,717.1137728827781,3102,934660,486.9971623676876,641.9198575769638,2504,647369,923.770634989955,1017.5201921836508,428,80493,3092.7335640138404,7657.143544499384,170,206798
2021,4,380.0921444947873,699.9386642412642,3204,955674,480.6210095003276,635.9154469072131,2577,661367,919.3283676303498,1000.209571638132,445,83100,3311.19430020529,7382.66952396391,182,211207
2021,5,368.5891748003549,694.1744805968044,3220,955976,465.9780237869873,623.8399491335355,2585,656681,912.0407470956386,955.9660356797864,451,87872,3240.193761814745,7368.118240053289,184,211423
2021,6,361.0774066103703,700.1039976698505,3128,940053,455.4821370721169,615.4513734582497,2502,638991,882.3926850141883,1018.7385475348498,447,92431,3017.071876658033,7540.596371428755,179,208631
2021,7,360.4198470563935,689.8338888883396,3245,964170,456.1271902665776,623.5520126354353,2591,658050,879.5520271141482,1026.518974741162,466,94140,3106.043458578542,7332.294450516701,188,211980
2021,8,366.37751727707536,689.8046807362048,3230,965347,459.39804917677696,624.7182635716147,2582,657586,905.6813251916088,1011.279592004814,463,95811,3252.8853177501837,7334.797115117653,185,211950
2021,9,372.9516255032751,698.9550005454798,3225,965496,464.5601522082686,643.2702307571805,2589,658320,930.9334966133636,1034.309285302177,459,95471,3634.0132145935063,7353.745414889633,177,211705
2021,10,376.2187824403003,696.8628737690466,3238,969121,461.3633629469225,640.4211317713491,2598,659623,940.7715337236132,1048.245846293978,458,95942,3579.8816568047337,7241.830005551029,182,213556
